Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean
01/01/2016,7.3,8.2,7.8,8.7,7.7,8.3,8.8,7.9,8,,8.077777778
01/02/2016,8.4,8,7.8,8,8,8,8.2,8.3,8.1,,8.088888889
01/03/2016,8,8.3,8.1,8,7.8,8.1,8.2,8.1,7.8,,8.044444444
01/04/2016,8.7,8.5,8.7,8.9,8.5,8.3,8.3,8.6,8.7,,8.577777778
01/05/2016,8.3,8.7,8.3,8.2,8.3,8.2,8.3,8.1,9.4,,8.422222222
01/06/2016,9.4,9.3,9.6,9,9.4,8.9,9,9.3,9.4,,9.255555556
01/07/2016,8.8,9.5,9.8,8.9,9,8.1,8.7,8.8,9.6,,9.022222222
01/08/2016,8.1,8.9,8.6,8.5,9.1,8.9,8.8,8.9,8.9,,8.744444444
01/09/2016,7.8,9,9.6,8,9,8.7,9,9.4,9.4,,8.877777778
01/10/2016,7.9,9.2,8.9,7.8,8.7,7.6,7.7,8.8,9,,8.4
01/11/2016,7.9,8.55,8.65,8.1,8.5,8.3,8.1,8.8,8.7,,8.4
01/12/2016,7.9,7.9,8.4,8.4,8.3,9,8.5,8.8,8.4,,8.4
01/01/2017,8.4,8,8.3,8.1,8,8.6,8.4,8.7,7.8,,8.255555556
01/02/2017,8,7.9,7.9,8.4,7.9,8.4,7.9,8.1,7.9,,8.044444444
01/03/2017,7.9,8.4,8,7.9,8.2,8.1,8.5,8.3,8.3,,8.177777778
01/04/2017,7.7,7.8,7.8,7.9,7.8,7.8,7.8,7.9,7.8,,7.811111111
01/05/2017,8.3,6.3,8.7,7.6,8,8.3,8,8.2,8.3,,7.966666667
01/06/2017,8.6,8.2,8.3,8.1,8.4,8.3,8.4,8.5,9,,8.422222222
01/07/2017,8.2,7.9,8.6,7.7,8.1,7.9,8.3,8.1,8.5,,8.144444444
01/08/2017,8.6,8.6,9.1,8.8,9,8.7,8.5,9.2,8.6,,8.788888889
01/09/2017,8.2,8.7,9.3,7.9,8.7,8.8,8.9,8.3,8.4,,8.577777778
01/10/2017,8.2,8..3,8,8.4,9.2,7.7,9.3,8.2,8,,8.375
01/11/2017,7.8,7.9,7.7,7.6,8.1,7.7,8.2,7.9,8.1,,7.888888889
01/12/2017,7.8,7.9,7.7,7.6,8.1,7.7,8.2,7.9,8.1,,7.888888889
01/01/2018,7.9,7.7,7.9,8,7.7,8.3,8.3,8.2,8.1,,8.011111111
01/02/2018,8.2,8,8.1,8.3,8,8.7,8.7,8.7,8.1,,8.311111111
01/03/2018,8.4,8.3,8.2,8,8.2,8.3,8.2,8,8.2,,8.2
01/04/2018,7.9,8.1,8.2,8.4,8.1,8.6,8.5,8.3,8.4,,8.277777778
01/05/2018,8.5,8.1,8.1,8.7,8.3,8.4,8.5,8.3,8.3,,8.355555556
01/06/2018,8.5,9.6,8.8,8.8,8.9,9.7,8.7,8.9,9.7,,9.066666667
01/07/2018,9.7,9.1,9.4,9,8.8,8.5,8.8,8.9,9.5,,9.077777778
01/08/2018,7.9,8.7,9.1,8.6,8.5,8.5,8.6,8.9,9.2,,8.666666667
01/09/2018,9,8.7,8.7,8.5,8.9,9,9,8.8,8.8,,8.822222222
01/10/2018,8.7,8.5,8.6,8.4,8.5,8.7,8.8,8.7,8.6,,8.611111111
01/11/2018,84,8.4,8.7,8.9,7.9,8.5,8.3,8.1,8.3,,16.78888889
01/12/2018,8.6,8.5,8.4,8.9,8.2,8.7,8.8,8.8,8.8,,8.633333333
01/01/2019,8.3,7.5,7.8,8.5,7.6,8.2,7.8,8.1,7.6,,7.933333333
